random_type;p_value
r;2,00015412932044e-01
r;2,22181755200286e-01
r;8,32110325745695e-01
r;7,79091355443355e-01
r;1,51331271592455e-01
r;2,53198642653759e-01
r;9,42037098092706e-01
r;9,80738728135248e-01
r;9,26310006501984e-01
r;7,25350964083455e-02
r;1,02229983788342e-01
r;7,31680878904714e-01
r;4,83609727706508e-02
r;6,35812276158482e-01
r;2,24243876882026e-01
r;4,28636255972598e-03
r;1,87444826498131e-01
r;9,30161663619094e-01
r;2,52960819846243e-01
r;2,68267660973132e-01
r;6,86066710632771e-01
r;8,29008620800180e-01
r;7,85477257374887e-01
r;4,09731368259344e-01
r;1,46499956704113e-01
r;5,20545375517309e-01
r;1,48212263041403e-01
r;3,59648060029634e-02
r;3,54959589816161e-01
r;7,80679349635986e-01
r;5,41102375997290e-01
r;6,26255339263672e-01
r;3,19511237987786e-01
r;5,50380227599635e-01
r;8,45762561110488e-02
r;3,19174491161782e-01
r;1,25019885946086e-01
r;1,46144947916989e-01
r;1,49827179519478e-01
r;2,40056621863636e-02
r;7,90586670788900e-01
r;4,19574217466006e-01
r;6,93027245752380e-01
r;6,40369364724484e-01
r;1,14228974603569e-01
r;7,09382212302747e-02
r;2,98518063694198e-01
r;8,06697626792457e-01
r;3,70622488015607e-01
r;9,38290423225151e-01
r;7,86272462265951e-01
r;9,76908879406375e-01
r;5,42821831116174e-01
r;6,19922615575732e-01
r;5,11569098400516e-01
r;1,36494511106218e-01
r;2,83019623862669e-01
r;1,49175698034013e-01
r;3,26421985993592e-01
r;8,14774026327215e-01
r;2,17071736979915e-01
r;4,88095202676394e-01
r;6,87660856086929e-01
r;2,58658735860414e-01
r;2,31244758376404e-01
r;9,80466259789824e-01
r;2,20719136219953e-02
r;8,34210686632967e-01
r;9,77631638847433e-01
r;1,63737481371985e-01
r;3,10862578432501e-01
r;2,90623818803365e-01
r;5,48784130686182e-01
r;1,54721902945597e-01
r;3,73902989459624e-02
r;6,58939710016260e-01
r;5,62563911124439e-02
r;3,17065990019699e-01
r;4,83020681610712e-01
r;5,86783407715562e-02
r;6,72240313677148e-01
r;3,56839187082636e-01
r;3,61246428577570e-01
r;1,68686768651502e-01
r;2,24232516709399e-01
r;1,02677823525439e-01
r;5,51864006698518e-02
r;4,36634215172959e-02
r;2,48231577527204e-02
r;6,83950880115388e-01
r;9,25110851653069e-01
r;8,98761120302118e-01
r;8,61142408422591e-01
r;5,97155783656866e-01
r;6,17097973056658e-01
r;8,31555801792520e-01
r;3,33832248366455e-01
r;8,53131581250050e-01
r;4,46145143652916e-01
r;9,30922209434629e-01
r;4,76350489422863e-02
r;5,41382703118289e-02
r;4,11058086944681e-02
r;7,55102924781065e-01
r;5,14333840958706e-01
r;2,50339771382251e-01
r;6,29019611206868e-01
r;7,50337808515847e-01
r;5,36057711892565e-01
r;1,29175572112733e-02
r;4,16121535221147e-01
r;9,60110580861097e-01
r;2,27355903934914e-01
r;1,43752939287431e-01
r;5,87192923993017e-01
r;2,22058643676359e-02
r;6,70045815718337e-01
r;4,87784820418660e-01
r;2,86425975271695e-01
r;5,53243680420633e-01
r;1,07878022059341e-01
r;5,96755959805261e-02
r;6,32640938505614e-01
r;6,60663661367847e-01
r;9,04642459863960e-01
r;9,83239782485990e-01
r;6,17089125199116e-02
r;6,88207736977012e-01
r;8,95577457955669e-01
r;1,98034547676097e-02
r;5,54351265460389e-01
r;5,07645591614627e-01
r;3,62055444343713e-03
r;7,90229707888690e-01
r;9,69507925202847e-01
r;1,26626967005147e-01
r;3,65701095551290e-01
r;9,07004396601123e-01
r;2,25625337480715e-01
r;9,53935307498953e-01
r;9,31229906518969e-01
r;7,77502545923294e-01
r;4,38483600630417e-01
r;3,97270062317155e-01
r;9,16414611048181e-01
r;1,16555030052145e-01
r;7,04967607625572e-01
r;6,30404071105597e-01
r;1,13888047493806e-01
r;8,48214634413495e-01
r;8,02572499009061e-01
r;7,37510492861678e-01
r;4,06836051940590e-01
r;4,69931910563972e-01
r;8,40067081438624e-01
r;1,14401468138277e-01
r;4,95292626445570e-01
r;4,26460513029681e-01
r;1,13938379979105e-01
r;3,51723318218301e-01
r;6,56039726286532e-02
r;9,88428798871333e-01
r;5,19842648100795e-01
r;8,16432976511040e-01
r;8,90441704097025e-01
r;4,68479146039366e-01
r;9,73904889757372e-01
r;9,64233375850796e-01
r;3,23106146012515e-01
r;7,35051722214566e-01
r;4,63175782702330e-01
r;2,38342496110184e-01
r;2,70033480462791e-01
r;7,24202425090967e-01
r;6,57150129828613e-01
r;9,23138003986737e-01
r;9,26967496441972e-01
r;7,29786923646203e-02
r;5,26576335183729e-01
r;2,42273505895577e-01
r;4,97101023722467e-01
r;7,92121674930414e-02
r;3,68233992270322e-01
r;6,34633051296458e-01
r;8,71619968559499e-01
r;5,08005357379918e-01
r;5,05070451502247e-01
r;8,64529859994364e-01
r;7,15298919347467e-01
r;1,85952888120462e-01
r;6,17192472413371e-01
r;2,48169260079145e-01
r;2,54651232392273e-01
r;9,06769911193173e-01
r;4,46354380148946e-01
r;2,19156396589856e-01
r;2,76282950757568e-01
r;9,38083459831958e-01
r;8,91438991140372e-01
r;9,76817391122745e-01
r;2,02723742479619e-01
r;9,77611710931472e-01
r;8,59669279316279e-01
r;3,62406736845913e-02
r;9,02573686495992e-01
r;6,33585699981540e-01
r;6,80641533747914e-01
r;1,52529180936816e-01
r;1,62122903427102e-01
r;6,09060525036185e-01
r;6,92476557765396e-01
r;3,00243119382866e-01
r;1,71647961581255e-01
r;1,96178439576020e-01
r;1,39314260659317e-01
r;5,21007329381520e-01
r;3,42736886874521e-01
r;6,23414834009464e-01
r;9,54176341587929e-01
r;2,21752488791720e-01
r;1,59964855658048e-01
r;4,91321506362909e-01
r;3,07370227679108e-01
r;2,73879456990996e-01
r;4,20949949294413e-01
r;2,55538530601119e-01
r;2,86139362662296e-01
r;7,70871113650550e-01
r;7,35091715894825e-02
r;5,93961024169100e-01
r;9,61908173607814e-02
r;5,93563568024619e-02
r;8,81193249044019e-01
r;8,65918104742417e-01
r;8,38921308834675e-01
r;3,63038267877172e-01
r;1,44036109089247e-01
r;5,68850670834601e-01
r;7,20299139230458e-01
r;4,25450626860146e-01
r;8,25583892577314e-01
r;9,11151817099545e-02
r;2,89495280279674e-01
r;9,46196018311636e-02
r;9,77148770484084e-01
r;1,59195140079028e-02
r;9,27375326856568e-03
r;5,36424413500148e-01
r;8,04423053495410e-01
r;3,43922381897539e-03
r;6,24397318502011e-01
r;1,44840944692246e-01
r;2,29919958003477e-02
r;4,89923738927560e-01
r;3,42719195450835e-01
r;1,08623482844642e-01
r;3,54663097238168e-01
r;2,57004620911777e-01
r;4,59743783737548e-02
r;4,70322885745238e-01
r;7,91348774201967e-01
r;8,26216957183536e-01
r;5,39108800901310e-01
r;9,28472525835218e-01
r;3,20755898098080e-01
r;8,41603230577255e-01
r;6,01154073843837e-01
r;9,29356296110675e-01
r;4,99120644230115e-01
r;5,16944139326222e-01
r;6,71533138936116e-01
r;2,18729892279319e-03
r;8,02710816619129e-01
r;5,34998445955638e-02
r;7,17080394698332e-01
r;3,95999748656452e-02
r;6,39677206976695e-01
r;1,14624760648085e-01
r;9,22537701156495e-01
r;7,94836727183210e-01
r;5,34792309341863e-01
r;9,95156368211017e-01
r;8,11539860575737e-01
r;6,34879886263517e-01
r;2,75828175126426e-01
r;6,31198752475847e-01
r;5,86361529760995e-01
r;1,53283066652457e-01
r;4,86254055531874e-01
r;6,07814103824990e-01
r;8,06267033934401e-01
r;3,67640526547508e-01
r;7,21715407151262e-01
r;1,23735486802862e-01
r;6,69821406779985e-01
r;9,14030510051885e-01
r;4,44363431544938e-01
r;7,53825477657809e-01
r;5,76703158887119e-01
r;3,34552531270490e-01
r;1,53499945750839e-01
r;9,26926979566490e-01
r;2,52670100448640e-01
r;6,28505405291737e-01
r;3,45435166843696e-01
r;2,20775590879906e-01
r;8,00218884555177e-02
r;9,34443290769065e-01
r;1,63939269824627e-01
r;4,50966017220130e-01
r;1,05558988723332e-01
r;2,55007353395666e-01
r;8,27332921084097e-03
r;3,15995899112687e-01
r;8,91824145543840e-01
r;2,83284415233518e-01
r;4,56560260468010e-01
r;2,56943836268482e-01
r;8,51263244342631e-01
r;5,56154554601071e-01
r;6,64733058221124e-01
r;8,14516959047878e-02
r;5,39207225545287e-01
r;6,15050756066396e-01
r;7,03149895592456e-01
r;1,02706414002636e-01
r;4,40411379861914e-01
r;3,05029114308930e-01
r;4,75709401892923e-01
r;2,51303696129419e-01
r;6,05560512141978e-01
r;6,88207349862018e-01
r;3,78468495693110e-01
r;7,90371043407153e-01
r;8,51383920220069e-01
r;9,98473422132489e-01
r;6,36928835290228e-01
r;5,42057006811714e-01
r;1,49904491252269e-01
r;9,00958224874026e-01
r;8,88466951880755e-01
r;1,90112696153687e-01
r;3,78333405069169e-01
r;9,27907805009819e-01
r;4,87069678578825e-01
r;2,80174170276921e-01
r;8,02405636194557e-01
r;8,60017914579585e-01
r;8,25934905254469e-01
r;3,80527895149334e-01
r;1,39784285582873e-01
r;6,97485938239843e-01
r;7,47088002626829e-01
r;3,30430653221468e-01
r;3,85501296394884e-02
r;7,12434349971244e-01
r;4,08449762808590e-02
r;3,90136039458406e-01
r;9,78577424821660e-01
r;1,59371159440821e-01
r;8,77296215751399e-01
r;9,53306993759539e-01
r;5,82471385190463e-01
r;7,65970333291148e-01
r;9,84672997174347e-01
r;5,67060908604363e-01
r;8,06950345859265e-02
r;1,31703255481627e-01
r;1,17766813989718e-01
r;3,87077406191192e-01
r;7,34667884162171e-01
r;1,18990213826962e-01
r;4,84129240195087e-01
r;8,90416414840797e-01
r;9,07271320821187e-01
r;3,63919307082809e-01
r;9,04272599935724e-01
r;2,80540203428934e-01
r;8,98785687741678e-01
r;3,66387538893335e-03
r;3,04923785007148e-01
r;3,61892808129492e-01
r;9,10274712854861e-01
r;5,23420391352697e-01
r;7,89775124297752e-01
r;9,38024689563143e-01
r;7,16626590734953e-01
r;6,90867790208633e-01
r;2,11883827743810e-03
r;1,67352527561316e-01
r;4,91054158493145e-01
r;1,83768793899813e-01
r;4,73607606535753e-01
r;6,55135413647917e-01
r;6,61398956265878e-01
r;8,18870640345316e-01
r;1,26855639156301e-01
r;3,05931021720241e-01
r;7,10172186440619e-01
r;1,80560638931184e-02
r;7,83749046800714e-01
r;4,18331137491702e-01
r;3,05893324301655e-01
r;3,32733069210187e-01
r;1,83700501063068e-01
r;7,30585007952948e-01
r;7,52764129854949e-01
r;1,16990560559631e-01
r;7,27777506575989e-01
r;4,31301498376762e-01
r;6,63124746272366e-02
r;8,36135803225695e-01
r;3,78514423162481e-01
r;5,28916688069398e-01
r;9,17660522055523e-01
r;1,16981140512222e-01
r;9,69568637239311e-01
r;2,88221538510067e-01
r;6,81076124286771e-01
r;9,38514879504474e-01
r;9,91246344034514e-02
r;2,20397666055511e-01
r;8,95741462788549e-01
r;7,45933859384229e-01
r;6,47925095479029e-01
r;8,78203232411487e-01
r;6,55715698229191e-01
r;7,98193015210514e-01
r;7,41037181835610e-01
r;9,74150191230452e-01
r;2,62857011026513e-01
r;7,91433036914509e-02
r;2,91063808124106e-01
r;7,36089903849656e-01
r;5,70765405638174e-01
r;2,16102552515773e-01
r;2,08198631568890e-01
r;7,47440161737707e-02
r;3,82419329628852e-02
r;7,64365374043325e-01
r;3,41782053326049e-01
r;7,64850639857287e-01
r;5,92653351186452e-01
r;5,38981228216584e-01
r;5,08546699892579e-01
r;6,27589892269117e-01
r;6,33223333234971e-01
r;7,25862648103996e-01
r;4,51407830194536e-01
r;4,72974786898090e-01
r;8,60614217119407e-02
r;8,54632071943767e-01
r;6,46625313242836e-01
r;2,91356580933091e-01
r;8,92862996365903e-01
r;3,90260903267008e-01
r;9,02355760217147e-01
r;5,04545406960472e-01
r;7,83835989099738e-01
r;6,60168057797156e-01
r;5,47922768913440e-01
r;6,98623056003611e-01
r;9,30870355766241e-01
r;5,81773529999914e-01
r;8,11024368554849e-01
r;8,72436663891661e-01
r;1,51226164996791e-01
r;8,08416352895250e-01
r;6,65862208752236e-01
r;7,31760606281099e-01
r;5,57943167249382e-01
r;7,58643131512237e-01
r;3,79520489417096e-01
r;7,73784050476471e-01
r;4,47705415408920e-01
r;7,65277596641666e-01
r;2,69230599460171e-01
r;8,62753884056896e-01
r;6,57028486464248e-01
r;9,13523770434178e-01
r;4,73316305715856e-01
r;3,56681326091824e-01
r;6,25726960879247e-02
r;3,15260778080708e-01
r;8,87074555032122e-02
r;6,89455726872140e-01
r;5,49761132066487e-01
r;1,11143199328542e-01
r;1,11720056080053e-01
r;3,97854813661981e-01
r;6,94954417689066e-01
r;1,31350980415678e-01
r;1,35716983834833e-01
r;1,02834060246415e-01
r;4,56747765814485e-01
r;8,68039029630870e-01
r;2,48316534541819e-02
r;1,96399115939381e-01
r;1,64596245586611e-01
r;2,23339212455983e-01
r;2,46450537101305e-01
r;5,95468482177178e-01
r;7,19197337837349e-01
r;9,72503701105053e-01
r;1,32568171840047e-01
r;9,18205034890291e-02
r;7,09383262964682e-01
r;7,63537543390664e-01
r;5,80184730581955e-01
r;8,82133743969231e-01
r;5,52123160949633e-03
r;5,94333076592981e-01
r;9,91103124884536e-02
r;4,24399255212021e-03
r;6,98309623205743e-01
r;4,87793317637858e-02
r;5,79799326810453e-01
r;4,28438105671924e-01
r;2,77675394771790e-01
r;9,56505006174219e-01
r;7,97583146582064e-03
r;2,74695340330688e-01
r;2,65754891287500e-01
r;8,01437940731228e-01
r;9,89614844435849e-01
r;6,66277503397261e-01
r;3,14071678480126e-01
r;3,62966406403417e-01
r;6,02134039218156e-01
r;8,40195743025186e-01
r;2,04748888712757e-01
r;5,15173008243586e-01
r;2,54439195628676e-01
r;2,92968108600473e-01
r;7,07881052533757e-02
r;4,77646843458900e-01
r;4,98786457552098e-01
r;9,03950836638105e-01
r;6,97422674998456e-01
r;1,41912736142605e-01
r;3,32070489229308e-01
r;1,58292215170959e-01
r;2,10367670658337e-01
r;7,90208695513303e-02
r;5,21798834508165e-01
r;6,55742824287600e-01
r;3,09802401915152e-01
r;9,34283569305948e-01
r;9,41980675152571e-02
r;5,38118449310826e-01
r;7,51558361569358e-01
r;6,11582599590121e-01
r;4,22945738904101e-03
r;7,96951869820305e-01
r;9,75335466016969e-01
r;9,65640355760643e-02
r;1,47726147861266e-01
r;4,72119964215495e-02
r;7,76313626154749e-01
r;7,59864104665349e-01
r;2,81149602387539e-01
r;1,48889469840422e-01
r;6,45685643273109e-01
r;3,19105691434986e-01
r;9,62661580057311e-01
r;3,77544406297709e-01
r;9,20935168809258e-01
r;4,61465259098000e-01
r;7,17081137574800e-01
r;1,14224543586863e-01
r;3,46837726141982e-01
r;1,25860011545054e-01
r;5,18772617620591e-01
r;9,28638545671051e-01
r;7,78079720490714e-01
r;1,19708726881300e-01
r;2,99729963319551e-02
r;3,97035701540307e-01
r;3,33632110834828e-01
r;6,45263080842818e-01
r;1,82645812704100e-01
r;4,94417731210273e-01
r;1,89402537877430e-01
r;2,50331804454117e-01
r;5,92434400989283e-01
r;8,08558411467499e-01
r;6,76485735096362e-01
r;5,37489522793946e-01
r;4,89914284719538e-01
r;3,20565937157938e-02
r;9,92787138852803e-01
r;3,94475595239256e-01
r;3,99141341606826e-01
r;9,43782038887107e-01
r;9,73313205580001e-01
r;7,78888919863485e-01
r;6,20494761285056e-01
r;9,78129773571449e-01
r;3,77131419898450e-01
r;9,83118768216929e-01
r;3,90428138792234e-01
r;5,37705121184432e-02
r;1,91020716297398e-02
r;6,12514791206724e-01
r;2,60699681462766e-01
r;5,16439016291695e-01
r;3,76723981604069e-01
r;7,44099130900686e-01
r;3,44324217966461e-01
r;9,14433013649691e-01
r;3,89959608965225e-01
r;7,78393421707965e-01
r;6,27877932531079e-01
r;8,61905711728256e-01
r;3,05476813813876e-01
r;7,33738523063670e-01
r;7,79348216543252e-01
r;6,38004758795715e-01
r;1,02178844397932e-01
r;7,53074512474184e-01
r;5,26179224741617e-01
r;4,15290405564181e-03
r;7,09692650221705e-01
r;3,57863036995408e-01
r;9,22778237514585e-01
r;5,48729210805820e-03
r;4,06296587279771e-01
r;9,68617325635485e-01
r;1,32127458658889e-01
r;6,78119079461331e-02
r;2,41266681290677e-02
r;8,58331106703780e-01
r;2,51437041746452e-01
r;7,94723763276066e-01
r;1,38419020520605e-01
r;9,55056616275894e-01
r;7,84989285548779e-03
r;7,41597337377077e-01
r;3,72037922717450e-01
r;6,44882736659731e-01
r;8,89466975585577e-01
r;4,50124894874603e-01
r;1,13933808806729e-01
r;6,81870637702508e-01
r;2,11924113035374e-01
r;4,16562293109898e-01
r;5,54782035077794e-02
r;1,81076664627087e-01
r;2,51230863460555e-01
r;4,70656839277748e-01
r;1,50138289953849e-01
r;9,25524879995625e-01
r;2,02748191653754e-01
r;5,73602229308184e-01
r;8,23806383441137e-01
r;1,67525300299579e-01
r;8,69468530535998e-02
r;3,46895495423021e-01
r;4,19799601585455e-02
r;1,68746231441664e-01
r;3,04222424138816e-01
r;2,47013017220672e-02
r;6,38027763437041e-01
r;8,00458828398779e-01
r;6,08778828798025e-01
r;4,99398256639754e-01
r;2,05764014901721e-02
r;9,35106234530718e-01
r;6,98901965630435e-01
r;2,05574451242929e-01
r;3,29255151721547e-01
r;7,09713498364114e-01
r;5,31314227731555e-01
r;3,36344451203506e-02
r;5,55549543700771e-03
r;1,97392218038104e-01
r;9,89275291774547e-01
r;3,71575918097315e-01
r;8,74208679886191e-01
r;4,19982447436100e-01
r;1,22646423264980e-01
r;4,11528669873297e-01
r;6,74208287147861e-01
r;9,46560381380370e-01
r;4,90479978086739e-01
r;7,40098123870251e-01
r;1,40754237614558e-01
r;6,11667520292158e-01
r;9,05412209514522e-01
r;8,06292692175553e-02
r;5,25241757682306e-01
r;1,43079964073066e-01
r;4,78141204464479e-01
r;9,79891764320998e-01
r;1,30199730521181e-01
r;5,25779265333151e-01
r;1,98456796266040e-01
r;9,21686168410182e-01
r;6,33954758839973e-01
r;4,08682479684385e-01
r;9,69863688934477e-01
r;7,16679921084981e-01
r;5,00904724817154e-01
r;4,43140386033840e-01
r;8,12036226504707e-01
r;1,41581264508059e-01
r;4,62338082686099e-01
r;8,90343855070154e-01
r;6,55582095451482e-01
r;6,22181045543779e-01
r;8,68239420155276e-01
r;6,23256809849883e-01
r;8,40826100323896e-01
r;6,15149660050761e-01
r;6,33356329657428e-01
r;7,65770079982086e-01
r;4,51351575913118e-02
r;1,54678341275627e-01
r;9,55852323947611e-01
r;5,36886970273170e-01
r;4,15255488399003e-01
r;9,10956154241798e-01
r;4,30585116768106e-01
r;3,53545867016097e-01
r;6,18412069496234e-01
r;5,27266551964832e-01
r;9,86066810581132e-01
r;5,94042516100109e-01
r;6,29863787110219e-01
r;2,68712230167315e-01
r;6,32398419309333e-01
r;5,64458906981584e-01
r;2,77491665954147e-01
r;1,31076871848875e-01
r;1,40025210053778e-01
r;4,10166946890773e-01
r;4,02884735621039e-01
r;5,71424791636335e-01
r;4,64177044635020e-02
r;7,87124092704380e-01
r;2,93669997311515e-01
r;8,38025359161286e-01
r;8,76409832392523e-01
r;8,70885586734609e-01
r;6,05916184287277e-01
r;6,06476977612030e-01
r;8,57683643658867e-01
r;2,21600796488187e-02
r;6,00236368533717e-01
r;7,16406019353332e-01
r;5,45841768654945e-01
r;7,11544126811604e-02
r;4,23804712404978e-01
r;7,17151835361572e-01
r;7,13549616306696e-01
r;6,37328151673052e-01
r;2,76300430366436e-01
r;7,77357615706754e-01
r;2,89486881196008e-02
r;2,51193235381184e-01
r;8,03078858409323e-01
r;4,72262355613331e-01
r;3,64757943168142e-01
r;9,10352046783319e-01
r;3,37796593167203e-01
r;8,41032499536370e-01
r;7,89956960592989e-01
r;8,88019475082142e-01
r;7,01399997274307e-01
r;7,64976621343832e-01
r;1,43365389821751e-02
r;5,54711917894081e-01
r;3,11985962995580e-01
r;8,14551853954236e-01
r;8,86489081143248e-01
r;6,84763604779672e-01
r;5,11649220789569e-01
r;7,90307035350759e-01
r;3,89451759225239e-01
r;7,19626582519793e-02
r;8,85701804565382e-01
r;2,73265444492259e-01
r;3,92237612128909e-01
r;2,92349813969603e-01
r;5,37922255192001e-01
r;5,47907704302162e-01
r;5,84593221132105e-01
r;8,96698473216134e-01
r;4,00777445500788e-01
r;9,58888390741991e-01
r;4,58268178697144e-01
r;7,31020913194676e-01
r;9,38822277571593e-01
r;8,06869753030486e-01
r;6,48461053790606e-01
r;4,21943602270160e-01
r;8,47837994911662e-01
r;9,35538826019242e-01
r;6,00590928410021e-01
r;5,82518405140719e-01
r;8,14403503056498e-01
r;7,97425061625252e-01
r;1,60946414384189e-01
r;5,66323027561673e-01
r;3,79191150008159e-01
r;5,19146626710023e-01
r;6,58590722039925e-01
r;2,47912174013051e-01
r;8,14793794473716e-01
r;3,68270725306860e-01
r;7,52796856980391e-01
r;4,03175615049657e-01
r;7,83898911796610e-01
r;9,03244355591090e-01
r;6,10928880389564e-01
r;7,20370208417093e-01
r;2,68972302709653e-01
r;2,38194553633275e-01
r;4,58935801597075e-02
r;2,89778433290794e-01
r;1,10542223668446e-01
r;7,40618199239028e-01
r;1,52777705137320e-01
r;8,46327909796603e-01
r;7,36750885583237e-01
r;6,65502740570519e-01
r;4,76347370141352e-01
r;2,20110595852534e-01
r;1,02379194822679e-01
r;5,06300736280246e-01
r;7,77564554347727e-01
r;9,69729094445580e-01
r;5,04732586847467e-01
r;5,80429623349505e-01
r;4,25124168282547e-01
r;1,80339448800210e-01
r;1,31519382314872e-02
r;8,58137706026882e-01
r;8,03914743424373e-01
r;8,36188481668224e-01
r;1,42865990861070e-01
r;2,37159354232418e-01
r;3,68944088060477e-01
r;2,47400024111655e-01
r;7,31060062121828e-01
r;9,18343980017174e-01
r;5,24352826399878e-01
r;6,57329596362360e-01
r;4,84129040661449e-01
r;1,33878420084781e-01
r;2,38952265597679e-01
r;2,86972620262486e-01
r;8,31095089353860e-01
r;5,50816530286414e-01
r;1,68893717874833e-01
r;5,81354100962735e-01
r;4,80640637556657e-01
r;3,22369029474501e-01
r;4,28424703779089e-01
r;2,53503297243376e-01
r;1,33813165533212e-01
r;9,48481202380256e-01
r;6,92055217564803e-01
r;1,09352876445275e-01
r;5,29729873591415e-01
r;4,85018346472999e-02
r;8,29520314684658e-01
r;8,51747611240525e-01
r;4,86539004652051e-01
r;6,74037923081410e-01
r;8,48637979863617e-02
r;5,85790487315667e-01
r;2,44017331812938e-01
r;6,14448251162001e-01
r;8,79043311311398e-01
r;8,21363026929873e-01
r;9,24786938856815e-01
r;4,43361691109518e-01
r;5,12668485648475e-01
r;5,68311151147018e-01
r;9,29392129137213e-01
r;2,57289884205703e-02
r;1,39029893090143e-02
r;4,30885167519952e-01
r;2,90401049428212e-01
r;2,68540939973932e-01
r;8,26056689385286e-02
r;2,94312374749029e-01
r;9,88005768073836e-01
r;5,22492193330293e-01
r;8,79650655153960e-01
r;5,49229463998790e-01
r;2,34144459004177e-01
r;5,30319558192912e-01
r;8,65460410285507e-01
r;7,01329146461437e-01
r;2,50239310220406e-03
r;9,43389967451073e-01
r;3,00755210961359e-01
r;5,02665143992576e-01
r;9,80513300781280e-01
r;3,77586676440378e-01
r;7,29151991015017e-02
r;7,37938612590848e-01
r;2,16982629018573e-01
r;8,76138992133415e-01
r;4,99121940561130e-01
r;7,92968926971109e-01
r;5,45174423510041e-01
r;5,30811056719019e-01
r;5,38902953767642e-01
r;7,41009320223423e-01
r;7,58287631696035e-01
r;7,24520578597087e-01
r;6,83025317876415e-01
r;1,51201956261522e-01
r;7,87897714646357e-01
r;4,29958422958193e-02
r;5,32932451773585e-01
r;9,00984785734682e-01
r;4,85139248844927e-01
r;9,84235423073470e-01
r;1,53117410378911e-01
r;1,72462154253510e-01
r;3,05953783545398e-01
r;5,28808493898601e-02
r;7,45024634281165e-01
r;1,56045239863690e-02
r;5,99979450355877e-01
r;3,68311099451084e-01
r;1,18560087450778e-01
r;2,84142264158420e-01
r;4,84471185767377e-01
r;4,32910315828740e-01
r;2,05841527543737e-02
r;8,02954131356318e-03
r;1,18264649566970e-01
r;8,16439773359663e-01
r;6,26706909030676e-01
